Dependency=proto_bldg_type	Option=1	Option=2	Option=3	Option=4	Option=5	Option=6	Option=7	Option=8	Option=9	Option=10	Option=11	Option=missing
full_service_restaurant	0.1517741876861687329817566564	0.6007736127870005258783388063	0.05510569418783677530157445539	0.007397965394454904893415846822	0.003633733148026753995259088525	0E+8	0.005526599961193598771137225675	0.006745663289684332530499088393	0.01433612970614164802265397851	0.0001953965469533156871047943624	0.02563954623325964373789703396	0.1288714710592797682003630257
hospital	0.009709045694805450906215416594	0.2588864797411406910487528917	0.02327027106053253586692136986	0.09033850681840067256741899482	0.1451367887433866536971048772	0.01322331710073606785914371731	0.008182452382204892342034713781	0.05973795578207019652871121368	0.03943359364041819289127333091	0.07065731180166413433064035018	0.1987023916581928905406746214	0.08272188557644762142110850256
large_hotel	0.01079063338937258755689532863	0.6384576480704068751061874038	0.08749635146085157270461876277	0.02111949059040091857435467821	0.006670774756351568928608148102	0.09283294217860273393057664211	0.007652314972829075678855224942	0.02537097774055729184996500962	0.04616365723484306378194383624	0.001207051446884962634933817342	0.01853376180063734802108612493	0.04370439635826200123197502329
medium_office	0.1189791686450726489033802428	0.6073031234934052089550128797	0.04979515194863212812331437464	0.01890623755296031965297261732	0.01466760050501313126167925044	0.01002599638946161913791341265	0.0009949977397646534692229094198	0.005648940911859369935696895170	0.04226777038221166914072617888	0.003055671866534755566122278412	0.01528549078941054782400411321	0.1130698497756739480299548474
midrise_apartment	0.04824373721745923728018924761	0.3329269148205772666687271708	0.02764991709950339503601139529	0.09305743857456684546526676008	0.07510891460366832403518506505	0.03687110595059021831995579854	0.02834172863088879929278970609	0.03611075462858153241898924571	0.03150113686470828119202886308	0.1413611725241381674048175144	0.1025256402276765368743621079	0.04630153885764139601167712543
outpatient	0.1238440076302668091845784923	0.6495773862660339315152165084	0.03602399985916717955532133319	0.02040292884133991745478560965	0.01381453903702225403824464797	0.006169272923772214458839765073	0.001565918335895349188345694894	0.005451944348447372226348264190	0.04801389950720962142432220237	0.0001412199606333529364010791438	0.03287633700092752287885805627	0.06211854628928447513873834660
primary_school	0.06360150824413240312151756312	0.5448266209629885099398495404	0.09246838037616095861596123641	0.04952342523161444543848762472	0.01417652702526423737878340335	0.02511877536754872910200196340	0.01089046739689373370866027091	0.02014685927072934110355189097	0.06575021916356145846281306245	0.02172359595316637560226208684	0.03700435370116200865543813357	0.05476926730677779887067322389
quick_service_restaurant	0.1005307120777334862618419345	0.8052931553639204997686369188	0.04666742210576266063717330596	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0E+8	0.04750871045258335333234784074
retail	0.09643349754566268986017331432	0.6070904066195447918758108866	0.05255419088007754381509765835	0.0008003490665632889260782567973	0.005374991567687210292380920603	0.003323915854808434670025279488	0.003456310906433222190195918870	0.01650089121990146429931035816	0.01121606835667818057432238673	0E+8	0.005114603272283143357810057154	0.1981347747103600301387949629
secondary_school	0.07002875285033831927567756600	0.4365817365887855840316074084	0.1346677358489844415089045250	0.05125118529075224002434628320	0.01357660976138458030261612148	0.05561517634409911326637434451	0.01312039459908030402294550136	0.06398720961812440527934150838	0.04051714674040997481428854135	0.01131681627967720495882804335	0.07300434121702672208989055078	0.03633289486133711042517960622
small_hotel	0.1285460195086427653181216730	0.4475862142714400705136085196	0.1368974132562274010282086826	0.02180443669527963049954599686	0.006766725550919469318473873832	0.05811045319464793420741523301	0.003516111607673097946365920838	0.01019138406800964426893066567	0.06597434846507084282764109703	0.02766056257411407549181505108	0.01357307324546738332926409892	0.07937325756250768525060918755
small_office	0.1242887193752646903304222146	0.5931573827529036057062657429	0.06488870603718904785490458143	0.01832827129790946444905348369	0.005904680307401225670163269371	0.01615548835406999842923874357	0.0001475454883732074341547918932	0.01570960473627447095846902230	0.04985336231535042241917607102	0.001215377105276124197950247112	0.02118043954267256701646878251	0.08917042268731517553373304964
strip_mall	0.04263162833891251633698032821	0.6059341511786568225033523564	0.1903146318125364055720191688	0.004202114902468082904420926981	0E+8	0.01203998893766317184940453860	0.0002204930450605599491860547211	0.001261605546915241322213388065	0.1071390246948403326892412561	0E+8	0.004968634905423219353218001959	0.03128772663752364751996398018
warehouse	0.06362391587566116975993066270	0.6574921184201926691967602064	0.09453017767597653059266582303	0.01137179078289707809517168850	0.0003419222179565340715914408459	0.007451713786773396491830663403	0E+8	0.0002524865350223698943415058764	0.03545811498120599359079276848	0E+8	0.02258101914746044146802133418	0.1068967405768538168388939066
